Sentence;Model 1 Label;Model 1 Score;Model 2 Label;Model 2 Score
bu hizmete bayıldım her şey tam istediğim gibi;Positive;1.0;positive;0.96
i̇lgili ve hızlı destek aldım çok teşekkür ederim;Positive;1.0;positive;0.96
sorunumu anında çözmeniz beni çok memnun etti;Positive;0.99;positive;0.56
her şey yolunda destek ekibinize teşekkür ederim;Positive;0.99;positive;0.82
her adımda bilgilendirildim çok teşekkür ederim;Positive;1.0;positive;0.98
çözümünüz tam da aradığım gibiydi çok teşekkür ederim;Positive;1.0;positive;0.96
sizden aldığım hizmet mükemmeldi tekrar teşekkürler;Positive;1.0;positive;0.96
her şey tam istediğim gibi sonuçlandı çok teşekkürler;Positive;1.0;positive;0.97
başvuru durumunu hızla çözdüğünüz için size minnettarım;Positive;0.99;negative;0.66
bu kadar hızlı bir çözüm beklemiyordum çok memnun oldum;Positive;0.99;positive;0.99
gerçekten çok yardımcı oldunuz bu kadar hızlı bir çözüm beklemiyordum çok teşekkür ederim;Positive;0.99;positive;0.98
beni sabırla dinlediğiniz için teşekkür ederim sorunum hemen çözüldü ve çok rahatladım;Positive;0.99;positive;0.86
bu kadar profesyonel bir destek görmek beni gerçekten çok mutlu etti hizmet kaliteniz mükemmel;Positive;0.99;positive;0.99
sorduğum her soruya açıklayıcı cevaplar verdiniz böyle bir hizmet almak gerçekten çok sevindirici oldu;Positive;0.99;positive;0.98
destek ekibiniz harikaydı sorumu hemen çözdüler böyle bir ilgi görmeyi beklemiyordum;Positive;0.99;positive;0.98
her sorumu sabırla cevapladığınız için çok teşekkür ederim hizmetiniz çok kaliteli;Positive;1.0;positive;0.97
bu kadar kısa sürede sorunumu çözdüğünüz için çok mutluyum gerçekten profesyonelsiniz;Positive;1.0;positive;0.98
yardımlarınız sayesinde işlerim yoluna girdi çok mutlu oldum tekrar teşekkür ederim;Positive;0.99;positive;0.89
bu kadar iyi bir hizmet aldığımı başkalarına da anlatacağım gerçekten çok memnun kaldım;Positive;1.0;positive;0.99
çözüm odaklı olmanız beni çok mutlu etti daha önce böyle bir destek almamıştım;Positive;0.99;positive;0.99
